solver,modularity,clusters,F1,accuracy
CluStRE,0.73179736,148,0.92487369,0.87051671
Infomap,0.56922802,141,0.90437227,0.82687414
Leiden,0.73944578,151,0.92276206,0.86752715
Louvain,0.73604811,150,0.92365775,0.86856845
MAGI,0.70259665,8,0.92002799,0.86275728
VieClus,0.74009936,150,0.92162548,0.86584762
Walktrap,0.70292714,261,0.90156256,0.83409612
Truth,0.63083265,8,1.00000000,1.00000000
