algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut
leiden,email,3,20480,0,0.0100,0,email.graph,1133,10902,0.578964353,68812000,11,0.16754148,0.00151036
leiden,email,4,20480,0,0.0098,0,email.graph,1133,10902,0.578899012,68804234,12,0.16367821,0.00138405
leiden,email,5,20480,0,0.0097,0,email.graph,1133,10902,0.578283246,68731048,10,0.15479532,0.00141589
infomap,email,1,18432,0,0.0338,0,email.graph,1133,10902,0.537537608,63888282,47,0.23991032,0.00161395
infomap,email,2,18432,0,0.0314,0,email.graph,1133,10902,0.537537608,63888282,47,0.23991032,0.00161395
infomap,email,3,18432,0,0.0312,0,email.graph,1133,10902,0.537537608,63888282,47,0.23991032,0.00161395
infomap,email,4,18432,0,0.0315,0,email.graph,1133,10902,0.537537608,63888282,47,0.23991032,0.00161395
infomap,email,5,18432,0,0.0313,0,email.graph,1133,10902,0.537537608,63888282,47,0.23991032,0.00161395
hollocou,email,1,2048,0,0.000,0,email.graph,1133,10902,0.001281324,152290,64,0.49152476,0.00060263
hollocou,email,2,2048,0,0.001,0,email.graph,1133,10902,0.001625041,193142,64,0.48529999,0.00059562
hollocou,email,3,2048,0,0.001,0,email.graph,1133,10902,0.001090955,129664,69,0.49139574,0.00059280
hollocou,email,4,2048,0,0.000,0,email.graph,1133,10902,0.000568346,67550,70,0.49336439,0.00059624
hollocou,email,5,2048,0,0.000,0,email.graph,1133,10902,0.001686006,200388,58,0.48065871,0.00057945
gnns,email,1,575876,0,0.9428937435150146,50,email.graph,1133,10902,0.566478623,67328026,18,0.20459054,0.00157894
gnns,email,2,575876,0,0.9477524757385254,50,email.graph,1133,10902,0.565210239,67177274,18,0.19503673,0.00163163
gnns,email,3,575876,0,0.8923084735870361,50,email.graph,1133,10902,0.563778596,67007118,20,0.19210548,0.00143542
gnns,email,4,575876,0,0.8870654106140137,50,email.graph,1133,10902,0.566204000,67295386,20,0.22045398,0.00163460
gnns,email,5,575876,0,0.8963208198547363,50,email.graph,1133,10902,0.565339406,67192626,20,0.22924089,0.00168431
dmon,email,1,594368,0,36.8751,1000,email.graph,1133,10902,0.524028922,62282726,16,0.23561617,0.00165215
dmon,email,2,594368,0,36.7642,1000,email.graph,1133,10902,0.525926062,62508208,16,0.24307507,0.00155454
dmon,email,3,594368,0,36.8389,1000,email.graph,1133,10902,0.504801116,59997432,16,0.25669396,0.00178350
dmon,email,4,594368,0,36.9467,1000,email.graph,1133,10902,0.528008708,62755738,16,0.24740036,0.00168822
dmon,email,5,594368,0,37.0635,1000,email.graph,1133,10902,0.504094297,59913424,16,0.24518888,0.00176558
dgcluster,email,1,415972,0,10.251007080078125,300,email.graph,1133,10902,0.000000000,0,1,0.00000000,0.00000000
dgcluster,email,2,415972,0,10.179678916931152,300,email.graph,1133,10902,0.000000000,0,1,0.00000000,0.00000000
dgcluster,email,3,415972,0,10.119669675827026,300,email.graph,1133,10902,0.000000000,0,1,0.00000000,0.00000000
dgcluster,email,4,415972,0,10.195083856582642,300,email.graph,1133,10902,0.000000000,0,1,0.00000000,0.00000000
dgcluster,email,5,415972,0,10.085946559906006,300,email.graph,1133,10902,0.000000000,0,1,0.00000000,0.00000000
commdgi,email,1,499596,0,87.0984,1001,email.graph,1133,10902,0.504210389,59927222,11,0.21145872,0.00110691
commdgi,email,2,499596,0,87.1326,1001,email.graph,1133,10902,0.526645569,62593724,13,0.23708429,0.00086261
commdgi,email,3,499596,0,89.3499,1001,email.graph,1133,10902,0.539848147,64162898,12,0.21093082,0.00095958
commdgi,email,4,499596,0,87.3563,1001,email.graph,1133,10902,0.519102946,61697256,10,0.15411971,0.00095649
commdgi,email,5,499596,0,89.6536,1001,email.graph,1133,10902,0.519427126,61735786,11,0.19386460,0.00109347
