algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut,f1,accuracy,tp,fp,tn,fn,ari,nmi,purity,invpurity
infomap,amazon_photo,2,66520,0,0.5908,0,amazon_photo.graph,7650,238162,0.597620743,33897728794,25,0.00037315,0.00000176,0.90631446,0.83065308,195086,38400,2744,1932,0.34766614,0.53767449,0.62026144,0.82444444
gnns,amazon_photo,1,5535140,0,231.1145498752594,50,amazon_photo.graph,7650,238162,0.716291147,40628849206,62,0.20347623,0.00018593,0.89922410,0.83170279,178826,21890,19254,18192,0.43699724,0.57457618,0.80052288,0.53045752
gnns,amazon_photo,2,5535140,0,231.92004299163818,50,amazon_photo.graph,7650,238162,0.719154288,40791249834,57,0.19296164,0.00019498,0.90256467,0.83671618,180114,21984,19160,16904,0.44554044,0.59092873,0.82183007,0.52784314
dmon,amazon_photo,1,794032,0,312.3895,1000,amazon_photo.graph,7650,238162,0.142914193,8106255746,8,0.34948669,0.00104940,0.62640290,0.49710701,100408,23160,17984,96610,0.09122358,0.15129540,0.40222222,0.49398693
dmon,amazon_photo,2,794032,0,312.6311,1000,amazon_photo.graph,7650,238162,0.118577594,6725856142,8,0.39318551,0.00101841,0.61145883,0.48546787,96424,21948,19196,100594,0.06187035,0.09384818,0.36248366,0.45764706
dgcluster,amazon_photo,1,919152,0,298.9017732143402,300,amazon_photo.graph,7650,238162,0.711327205,40347288754,8,0.04059319,0.00019814,0.92586003,0.87228021,189930,23330,17814,7088,0.60003958,0.68270254,0.80993464,0.80875817
dgcluster,amazon_photo,2,919152,0,301.2790856361389,300,amazon_photo.graph,7650,238162,0.706215388,40057340674,7,0.04594338,0.00022775,0.92681285,0.87398493,190030,23024,18120,6988,0.57490931,0.65922126,0.77633987,0.80718954
commdgi,amazon_photo,1,2068076,0,3606.6084,482,amazon_photo.graph,7650,238162,-0.000000002,-170,4,0.50000000,0.00023970,0.90539988,0.82715127,196996,41144,0,22,-0.00005962,0.00761036,0.25398693,0.99960784
commdgi,amazon_photo,2,2068076,0,3606.6869,482,amazon_photo.graph,7650,238162,0.001183963,67155784,3,0.44332869,0.00041974,0.90211357,0.82171799,195654,41096,48,1364,-0.00217513,0.02909975,0.26339869,0.98588235
lim,amazon_computers,1,4668988,0,3614.0806,157,amazon_computers.graph,13752,491722,0.539663572,130485538586,4,0.04522431,0.00014696,0.88927901,0.81299189,369282,79064,30484,12892,0.38641483,0.44669440,0.56355439,0.81471786
lim,amazon_computers,2,4673476,0,3608.0551,156,amazon_computers.graph,13752,491722,0.518557921,125382392310,3,0.05573730,0.00019162,0.88804100,0.81190591,366808,77124,32424,15366,0.29161577,0.34419566,0.50610820,0.78424956
vieclus,amazon_computers,1,127916,0,2804.96,0,amazon_computers.graph,13752,491722,0.641678424,155151763264,49,0.00465317,0.00001264,0.83905370,0.75115614,318952,59140,50408,63222,0.30026082,0.54727624,0.76257999,0.49956370
vieclus,amazon_computers,2,125360,0,2200.59,0,amazon_computers.graph,13752,491722,0.641693759,155155471250,49,0.00464923,0.00001263,0.83895169,0.75098531,318930,59202,50346,63244,0.29986157,0.54683860,0.76228912,0.49956370
ucode,amazon_computers,1,4365152,0,3602.911851167679,878,amazon_computers.graph,13752,491722,0.521418166,126073972418,3,0.05877012,0.00024258,0.87928480,0.79981372,358502,74764,34784,23672,0.24476277,0.40825787,0.48182083,0.79392088
ucode,amazon_computers,2,4365152,0,3603.071548461914,877,amazon_computers.graph,13752,491722,0.522003616,126215528522,3,0.06165486,0.00025260,0.87904497,0.80000488,357352,73520,36028,24822,0.22625234,0.39154746,0.47563991,0.77392379
magi,amazon_computers,1,2539004,0,3604.05962061882,73,amazon_computers.graph,13752,491722,0.606716327,146698259552,10,0.09493854,0.00022848,0.86305344,0.78018067,340598,66514,43034,41576,0.40069763,0.54471980,0.71851367,0.61445608
magi,amazon_computers,2,2539004,0,3605.8117187023163,73,amazon_computers.graph,13752,491722,0.605693092,146450851020,10,0.09687673,0.00023472,0.86278906,0.78045725,339410,65190,44358,42764,0.40006273,0.55136679,0.72447644,0.61409250
infomap,amazon_computers,1,118300,0,1.3251,0,amazon_computers.graph,13752,491722,0.450419050,108907058714,37,0.00080868,0.00000197,0.88369751,0.79987879,373850,90080,19468,8324,0.35344715,0.45522986,0.61111111,0.77108784
infomap,amazon_computers,2,118300,0,1.3216,0,amazon_computers.graph,13752,491722,0.450419050,108907058714,37,0.00080868,0.00000197,0.88369751,0.79987879,373850,90080,19468,8324,0.35344715,0.45522986,0.61111111,0.77108784
gnns,amazon_computers,1,8061904,0,589.3272132873535,100,amazon_computers.graph,13752,491722,0.627890026,151817859252,65,0.18679897,0.00013726,0.82211517,0.73042085,306316,56700,52848,75858,0.25446218,0.52681747,0.77523269,0.45818790
gnns,amazon_computers,2,8061904,0,592.235134601593,100,amazon_computers.graph,13752,491722,0.625812958,151315644072,75,0.12546145,0.00015505,0.82395492,0.73392283,306180,54842,54706,75994,0.23999733,0.51778722,0.76672484,0.41710297
dmon,amazon_computers,1,1009540,0,658.2497,1000,amazon_computers.graph,13752,491722,0.097041644,23463750232,10,0.36935138,0.00313867,0.54153869,0.45722176,157630,42352,67196,224544,0.05297989,0.10542420,0.42466550,0.34060500
dmon,amazon_computers,2,1009540,0,657.1944,1000,amazon_computers.graph,13752,491722,0.091926286,22226905216,9,0.39078923,0.00092369,0.52390282,0.46231407,145470,27688,81860,236704,0.02841865,0.06705995,0.39856021,0.41172193
dgcluster,amazon_computers,1,1410920,0,594.4783532619476,300,amazon_computers.graph,13752,491722,0.609110238,147277084506,8,0.08317543,0.00022903,0.85480874,0.76766954,336298,68366,41182,45876,0.37361916,0.52011428,0.70978767,0.61394706
dgcluster,amazon_computers,2,1410920,0,593.9253077507019,300,amazon_computers.graph,13752,491722,0.556622700,134586095124,19,0.28136911,0.00059505,0.78533097,0.68793749,280682,51956,57592,101492,0.23969877,0.46613698,0.67197499,0.57198953
commdgi,amazon_computers,1,5349444,0,3603.7250,172,amazon_computers.graph,13752,491722,0.000000000,-98,2,0.50000000,0.00025453,0.87462609,0.77718711,382160,109548,0,14,-0.00006125,0.00188392,0.37507272,0.99992728
commdgi,amazon_computers,2,5349444,0,3616.2739,172,amazon_computers.graph,13752,491722,0.000000000,-56,3,0.50000000,0.00010909,0.87463325,0.77719931,382164,109546,2,10,-0.00004229,0.00384923,0.37514543,0.99985457
lim,cora,1,662188,0,811.8974,1000,cora.graph,2708,10556,0.694593916,77398000,6,0.07001035,0.00012001,0.86619161,0.77586207,7658,1474,532,892,0.19292192,0.25932591,0.46639586,0.46159527
lim,cora,2,665448,0,795.4453,983,cora.graph,2708,10556,0.663585527,73942762,6,0.06820000,0.00011715,0.86313166,0.77112543,7618,1484,522,932,0.10708004,0.18659424,0.38921713,0.45716396
vieclus,cora,1,20480,0,276.554,0,cora.graph,2708,10556,0.825492104,91983872,105,0.01424726,0.00002110,0.87711864,0.79120879,7866,1520,486,684,0.23799248,0.48147449,0.78064993,0.37444609
vieclus,cora,2,22528,0,145.795,0,cora.graph,2708,10556,0.825194660,91950728,105,0.01426678,0.00002112,0.87788558,0.79253505,7872,1512,494,678,0.23938359,0.48310974,0.78175775,0.37629247
ucode,cora,1,580308,0,223.566819190979,1000,cora.graph,2708,10556,0.680095931,75782502,7,0.06707090,0.00011306,0.88618436,0.80863964,7864,1334,672,686,0.51243073,0.57193072,0.74446086,0.78618907
ucode,cora,2,580308,0,222.23937249183655,1000,cora.graph,2708,10556,0.683625492,76175798,6,0.06785487,0.00011870,0.88332578,0.80485032,7798,1308,698,752,0.50682882,0.55190553,0.69054653,0.75516987
magi,cora,1,866288,0,119.28715968132019,100,cora.graph,2708,10556,0.743990530,82902222,7,0.05152033,0.00008718,0.88575865,0.80485032,7986,1496,510,564,0.45094131,0.51286570,0.69017725,0.68943870
magi,cora,2,866288,0,118.59571623802185,100,cora.graph,2708,10556,0.744562266,82965930,7,0.05098097,0.00008618,0.88649728,0.80617658,7990,1486,520,560,0.45200965,0.50859743,0.68980798,0.68648449
infomap,cora,1,20388,0,0.0987,0,cora.graph,2708,10556,0.796185173,88718226,90,0.00726794,0.00001133,0.88377217,0.80011368,8022,1582,424,528,0.26128214,0.45919216,0.71787297,0.45420975
infomap,cora,2,20388,0,0.0985,0,cora.graph,2708,10556,0.796185173,88718226,90,0.00726794,0.00001133,0.88377217,0.80011368,8022,1582,424,528,0.26128214,0.45919216,0.71787297,0.45420975
gnns,cora,1,1371980,0,35.94305896759033,50,cora.graph,2708,10556,0.757326611,84388250,51,0.10186829,0.00013602,0.83669855,0.73796893,7086,1302,704,1464,0.11653899,0.32067841,0.60376662,0.24815362
