clustre_fast,0.48440509988669495,0.09458569102305557
clustre_strong,0.7486879815399536,81.97168237576253
commdgi,0.6603309780162184,19499.523710563695
dgcluster,0.713305998339106,600.0758423676816
dmon,0.46336250241209953,948.5741023117283
gnns,0.7226953377569149,491.6126018770638
hollocou,0.26087939419857237,0.027657947491190934
infomap,0.5307216157073653,4.6536532210598605
leiden,0.7545419116489159,0.5994899748926823
louvain,0.7467168504587761,1.2495166772612176
magi,0.6850822252894211,3564.772711411096
ucode,0.6202928248036939,5577.320249077162
vieclus,0.7576061812615741,1465.5489135683392
walktrap,0.6883864993802071,57.603373500234234
