fraction,clustre_fast,clustre_strong,cnm,combo,commdgi,dgcluster,dmon,gnns,hollocou,infomap,leiden,lim,louvain,magi,ucode,vieclus,walktrap,wt
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03125,1.0,1.0,0.9995865303459672,1.0,0.9860327143596188,0.22696177548249646,0.9702964850883447,1.0,0.9258623607775271,0.9975085679222468,1.0,0.9950506702559783,1.0,0.4139625502318477,0.0004103722406198231,1.0,0.9972620652708281,0.9995865303459672
0.0625,0.967292818634768,0.9999822620175588,0.9994091241315216,1.0,0.9755588671200751,0.1390476801210885,0.9331807044464719,1.0,0.6728709531549265,0.9974740960364259,1.0,0.9234189864371579,1.0,0.2879375174609976,0.00022186819470331552,1.0,0.9960209677194095,0.9995742236853844
0.09375,0.915011581906645,0.9999788721573545,0.9950342035007922,1.0,0.9708444604668307,0.07334214380513392,0.9059410778468626,1.0,0.6719457354220427,0.9969633755029204,1.0,0.8468378016878884,0.99990638369916,0.15163081308838672,0.0,1.0,0.995908727941353,0.9993915805873556
0.125,0.8749506103006176,0.9992647309303386,0.9931877247045657,1.0,0.9262548226132882,0.0,0.8871328810231714,1.0,0.6653969560979075,0.9938265921686887,1.0,0.8241272507577426,0.9998103018996112,0.14247255945433282,,1.0,0.9848984523533096,0.9949997019897869
0.15625,0.8723030914010641,0.9985384691701102,0.9859909756002782,1.0,0.9242813614797788,,0.8673703496555517,0.9997974011572631,0.6253322064829939,0.9866418571999258,1.0,0.8133395118115703,0.9997366522397418,0.13488915166239182,,1.0,0.9615652815661071,0.9920662144122997
0.1875,0.8584540512776178,0.9982618293354952,0.9583749852454416,1.0,0.9199876688319909,,0.8666120774514471,0.999166159925474,0.6139202450302222,0.9791939536241203,1.0,0.8124710375493407,0.999633750452277,0.10767979604043992,,1.0,0.9456151455274261,0.9889164019032162
0.21875,0.8528935299382281,0.9982114478114115,0.9520858219338352,0.9999779749764406,0.910856130774324,,0.8659653557348533,0.9983405118896805,0.5914986454008575,0.9686239000140503,1.0,0.803959060399726,0.9996060515681461,0.10355107201479281,,1.0,0.938713226899183,0.9866991860175977
0.25,0.8396328796338294,0.9981990475154823,0.9439931408052781,0.9999758912383693,0.8907886546801894,,0.8644246403048235,0.9925029716145103,0.5727489146336244,0.9615505962086511,1.0,0.7500972463009705,0.9995426925485822,0.06366715997573735,,1.0,0.9249335768520954,0.9861570174854005
0.28125,0.8389969255693442,0.9980922626349032,0.9404172974250672,0.9995578548563335,0.8287516336172145,,0.8490803794151676,0.987289504984171,0.5592365633908075,0.9577133890583267,1.0,0.7082639822352698,0.9994879926704936,0.048665200037290614,,1.0,0.910546071977791,0.9859909756002782
0.3125,0.8379407813955135,0.9968544979371071,0.9375070159434306,0.9990783394663671,0.787336750021273,,0.832016188006331,0.982243113323623,0.48997282824014615,0.9543724255675344,0.9999321421674191,0.6112214364604928,0.9994479758239148,0.03581306237811621,,1.0,0.8901364315440479,0.9612222946389551
0.34375,0.8325014670934044,0.9928667821011243,0.9366009243929233,0.9984848403363079,0.7662966254956248,,0.8218314882268725,0.9775891291129979,0.4831500257602394,0.9469647197464154,0.9998865694865082,0.15196070761887234,0.9985938994650282,0.023069024744588322,,1.0,0.8830844402290228,0.9548265327110247
0.375,0.8154134649596019,0.9894461614919413,0.9284544475146822,0.998223060055267,0.7490106234278701,,0.8190081365855717,0.9772541281926789,0.46260881398603154,0.9227400505293155,0.9998697059607227,0.0,0.9976507422484766,0.0199993885643838,,1.0,0.8805108117420622,0.9520858219338352
0.40625,0.7966326269075392,0.988841031635628,0.9126268590274443,0.996744377090946,0.7027062261543144,,0.7507460605042405,0.9719465730815684,0.45370631514207427,0.9222904709646271,0.999861723592356,,0.9972646364420167,0.018591061802596155,,1.0,0.8797649075964259,0.9454274070345197
0.4375,0.795878672956059,0.9878483491376326,0.9093092003861086,0.9959695647819231,0.6682025783143448,,0.7366259141495968,0.9653260231106494,0.445808689075635,0.8980965509166012,0.9998207559735682,,0.9964556179574388,0.018256759187006706,,1.0,0.8677254730235234,0.9404172974250672
0.46875,0.782107616808441,0.9697569143653504,0.9068128417622683,0.9933482885974312,0.668193018674581,,0.7249934501463305,0.9595868489341137,0.43113028125241565,0.8922076974427324,0.9994023084466336,,0.9947378736874334,0.009047949721292784,,1.0,0.8628917000106959,0.9375070159434306
0.5,0.7453295394084672,0.9675843397573404,0.8860608045096279,0.9928099113485255,0.6675209680095999,,0.6947311963227105,0.9488234335966942,0.4102499084315265,0.8867978108586982,0.9989340725529878,,0.9920024959728354,0.005533278985637386,,1.0,0.8522040523244411,0.921647149447559
0.53125,0.7445811371161116,0.9577132334585572,0.8691204697204843,0.9874787275219608,0.6491232366446908,,0.6632168184328329,0.9464159154691985,0.4071350931442686,0.8752193169101089,0.9985031619678867,,0.9911277920056636,0.0028052041194871697,,1.0,0.8500943846575602,0.9093092003861086
0.5625,0.7258539723561105,0.9483059053476055,0.8657201673814313,0.9868893537826556,0.6092404068350314,,0.6220274782817058,0.9403738996664787,0.38735310943105167,0.86781332963808,0.9982204876655845,,0.9885763849985612,0.0019936387600387856,,1.0,0.8414252137330164,0.9092332746753647
0.59375,0.7215811421220838,0.9452101977178542,0.8636994441249235,0.0,0.5598329773981484,,0.5847689889953733,0.9372915253789669,0.30622506286184276,0.8632145784633135,0.9979557834980161,,0.9863783453332201,0.0010487202592253594,,1.0,0.8260299659626884,0.9068128417622683
0.625,0.7057143620901467,0.937775724811867,0.8345729187625989,,0.539803422887943,,0.5419016020885719,0.9369299219529605,0.2442608761120697,0.660487179410648,0.996943826533034,,0.9824398860621102,0.0,,1.0,0.8180608622806541,0.904117398152232
0.65625,0.694313062356917,0.9364661057856258,0.8296603502904341,,0.5176019622772434,,0.5179860359540386,0.9268236018809187,0.21632412410273688,0.6455441214838225,0.9967709092235214,,0.9822683828100339,,,1.0,0.7988259848589984,0.8866741184970176
0.6875,0.6758167079999521,0.9330318876219138,0.7150596187060547,,0.0,,0.23796912738240933,0.9136611734570559,0.067658073137577,0.6136150713420442,0.9961841534760898,,0.9818882613250927,,,1.0,0.7816044368299468,0.8852592780765091
0.71875,0.6729004047594583,0.9158760129105661,0.0,,,,0.14920672694907544,0.912077635424816,0.03469374372881003,0.6034763884234596,0.9955173137424022,,0.9817691038580161,,,1.0,0.7695212678869758,0.8714100550688274
0.75,0.6723047563353493,0.906673719904373,,,,,0.11636560625071155,0.900753916369365,0.007809698270874098,0.5398448177679107,0.9937081611074953,,0.9746308882254843,,,1.0,0.7004391419800274,0.8681647982784082
0.78125,0.6521206004769696,0.8981401783477629,,,,,0.0,0.8934211908586229,0.004903576719333103,0.3450844510581194,0.9936462961187467,,0.9723731094256898,,,1.0,0.6899667832150315,0.8479824629445798
0.8125,0.6480732255609358,0.8934032044438254,,,,,,0.8864059787336399,0.004322604913284779,0.09103404294233221,0.992141809929431,,0.943420726555686,,,1.0,0.4815428440046595,0.8360695944275538
0.84375,0.6460047767399082,0.8830566087132924,,,,,,0.8683384894001355,0.002892797163671546,0.08691140555303435,0.9905102115006341,,0.9372915253789669,,,1.0,0.0,0.8345729187625989
0.875,0.6443766524376776,0.8759885223786281,,,,,,0.7841359845670314,0.0,0.0,0.9903920879740882,,0.881700550386235,,,1.0,,0.715882122623485
0.90625,0.6036568450764248,0.872813727477496,,,,,,0.0,,,0.9888501606292551,,0.8698233254626747,,,1.0,,0.6482054344058056
0.9375,0.5971025838533613,0.8587594065362382,,,,,,,,,0.982076605053146,,0.7771558056535847,,,1.0,,0.0
0.96875,0.596533893996033,0.781300977035692,,,,,,,,,0.9471936691541506,,0.0,,,0.0,,
1.0,0.39936761038821805,0.0,,,,,,,,,0.0,,,,,,,
