fraction,clustre_fast,clustre_strong,cnm,combo,commdgi,dgcluster,dmon,gnns,hollocou,infomap,leiden,lim,louvain,magi,ucode,vieclus,walktrap,wt
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,0.9733148306015944,0.9967710113804834,0.9914472988484362,0.9919835726306524,1.0,0.997052519445489,0.9912449984594305,1.0,0.9006134074505976,0.9955400536115094,1.0,1.0,0.996976700819733,1.0,1.0,0.9912543901132336,0.9769356509257164,1.0
0.2,0.8531720163373104,0.9947480027491491,0.984412465016573,0.9914232407256363,1.0,0.994419283280357,0.9888669413820119,0.9707535337440995,0.8433474244267379,0.9930349512125005,0.9928843540445529,0.9878558883739024,0.9913663441246037,1.0,0.9974531571880045,0.9911588189840667,0.9696757142193221,0.986369956667641
0.3,0.8066201443201108,0.9882002666964903,0.983639836448281,0.9836579465504652,1.0,0.9863202768518821,0.9875530289714622,0.9545081925137173,0.8286946488165932,0.9918779123165197,0.9911392077233891,0.9830391371708491,0.9881300866967617,0.9985555119842291,0.9949079283954025,0.9900703509581016,0.9650275606076004,0.9814337244173125
0.4,0.7937302892954671,0.9822740693774317,0.9835142987580123,0.9835896956611166,0.9951020837113567,0.9826621324007075,0.9858966815291043,0.9391922841510841,0.6803344933084579,0.9842106832228634,0.9815073041606268,0.9828673213880489,0.9811828649426535,0.9897779939649325,0.9929165007663506,0.9805292077460612,0.9578163795477342,0.9708991111747884
0.5,0.7606376139861388,0.9802368125748115,0.972629345106083,0.9532247505541024,0.9853408482680817,0.9775887384173795,0.976223839747896,0.9368581456329051,0.6191408903361606,0.9794800887393945,0.9808097672223691,0.9807596720342262,0.9791303517678904,0.9896344139088606,0.9881093525137763,0.9768009960552488,0.9409120737222372,0.969645362195104
0.6,0.7376316022998133,0.9760924823680922,0.9703895138080038,0.0,0.9813756718493187,0.9674650538629358,0.8490736427404567,0.9312427552089492,0.6120749620599111,0.9760645305856035,0.9806561319397905,0.0,0.95712589280757,0.9882262865944478,0.9860289912071849,0.9623551542549188,0.9263043105642234,0.9664335540640357
0.7,0.692471083761406,0.9725788112874323,0.9695124896016092, ,0.9738624543707275,0.9619321450985449,0.769501760258792,0.9310783662340703,0.5092170563466398,0.9747866208062137,0.9773439713437813, ,0.9570618444477428,0.9798412315864424,0.9518590699633953,0.9486172469539674,0.9211575657323612,0.962196583689135
0.8,0.645421659369167,0.9594996417586487,0.0, ,0.0,0.9614591165707779,0.7490541317206976,0.9009939864279499,0.41462235702677996,0.8997649938080878,0.9650238803631862, ,0.9495142720819197,0.9685428314166136,0.0,0.9451582510399491,0.8981018487113813,0.9431129100954727
0.9,0.5948547134188004,0.952309539101885, , , ,0.9541022905869196,0.7146276654699701,0.8787773578314722,0.3203849771849929,0.0,0.9572895059683619, ,0.9472613066297564,0.9657908956469248, ,0.9300972327800552,0.0,0.0
1.0,0.5786531762915977,0.9495759359598455, , , ,0.6981444572408783,0.6781742988761715,0.0,0.09862199041055154, ,0.9371345538784142, ,0.9308317945166662,0.0, ,0.0, , 
