solver , modularity, alt_modularity, clusters, time   , f1        , accuracy
dcore  , 0.82549210,       91983872,      105, 33.05  , 0.87711864, 0.79120879
louvain, 0.81392981,       90695496,      105,  0.0101, 0.87191011, 0.78400909
leiden , 0.82242890,       91642542,      106,  0.0919, 0.87897092, 0.79499811
