solver , modularity, alt_modularity, clusters, time   , f1        , accuracy
dcore  , 0.64169149,   155154923144,      328, 44.66  , 0.83897104, 0.75101785
louvain, 0.63329293,   153124230344,      329,  0.4934, 0.87082085, 0.79208577
leiden , 0.64006238,   154761019352,      331,  1.9819, 0.84269601, 0.75534550
