solver,modularity,clusters,F1,accuracy
CluStRE,0.88853757,472,0.83223943,0.71924429
Infomap,0.84518972,458,0.83702940,0.72231986
Leiden,0.89123926,471,0.82407164,0.70650264
Louvain,0.88879514,468,0.82726081,0.71045694
MAGI,0.75119436,6,0.84647196,0.73901582
VieClus,0.89419254,473,0.83091408,0.71594903
Walktrap,0.82624386,608,0.82786885,0.71397188
Truth,0.53861814,6,1.00000000,1.00000000
