graph,n,m,modularity,alt_modularity,clusters,f1,accuracy,time
cora.graph,2708,5278,0.76456720,85195062,243,0.86007140,0.76979917,0.2362
citeseer.graph,3327,4552,0.82624386,68481418,608,0.82786885,0.71397188,0.1081
amazon_photo.graph,7650,119081,0.70292714,39870827592,261,0.90156256,0.83409612,4.6950
amazon_computers.graph,13752,245861,0.59677129,144293643640,550,0.85661290,0.77141556,27.1265
