solver , modularity, alt_modularity, clusters, time   , f1        , accuracy
dcore  , 0.74009936,    41979278136,      147, 37.68  , 0.92162548, 0.86584762
louvain, 0.73708346,    41808212946,      151,  0.2064, 0.92199742, 0.86631788
leiden , 0.73993491,    41969950292,      150,  0.7585, 0.92134390, 0.86536895
