solver , modularity, alt_modularity, clusters, time    , f1        , accuracy
dcore  , 0.71750659,  3847266111614,      160, 117.50  , 0.76328390, 0.65600938
louvain, 0.70911784,  3802285659670,      148,   4.5593, 0.76099341, 0.65361086
leiden , 0.71434970,  3830338886612,      141,  14.9124, 0.75551819, 0.64660101
